iteration,avg_loss,best_reward,avg_episode_return,avg_episode_length
363,11.044376611709595,479.28474769375634,174.04915315736343,318.2
364,14.422661066055298,479.28474769375634,185.84298506056706,336.7
365,10.018987894058228,479.28474769375634,175.61987633622306,319.7
366,14.878456115722656,479.28474769375634,193.7490379474246,355.7
367,3.819395124912262,479.28474769375634,214.9189557434167,392.7
368,13.532482624053955,479.28474769375634,204.2927678074466,378.2
369,9.540257215499878,479.28474769375634,202.3128886744863,369.5
370,11.877613306045532,479.28474769375634,190.65355545300355,348.2
371,14.255964517593384,479.28474769375634,190.59128608809164,345.1
372,15.423896789550781,479.28474769375634,180.46450117788817,327.3
373,12.700141906738281,479.28474769375634,187.17866254336076,337.8
374,11.14050555229187,479.28474769375634,175.12568986441082,320.0
375,15.002646803855896,479.28474769375634,187.46301601857832,341.0
376,5.240784227848053,492.55911081923745,219.70720159505714,406.7
377,19.86999750137329,492.55911081923745,232.16369490828907,428.4
378,15.862100601196289,492.55911081923745,240.7361168959896,442.3
379,12.817590236663818,492.55911081923745,200.10567768431503,363.3
380,9.53286075592041,492.55911081923745,188.50736873609407,341.8
381,10.23648715019226,492.55911081923745,176.85814814734636,321.5
382,18.594511032104492,492.55911081923745,191.1166790276216,353.3
383,16.129748106002808,492.55911081923745,191.37223826753356,354.0
384,15.493656396865845,492.55911081923745,197.42828358223827,363.3
385,11.965757608413696,492.55911081923745,183.02542549957627,330.8
386,13.792948961257935,492.55911081923745,188.72959915512274,338.9
387,12.259403705596924,492.55911081923745,181.69425664621335,329.1
388,10.703431129455566,492.55911081923745,177.89273877206182,325.2
389,13.943701028823853,492.55911081923745,174.5556784679221,320.0
390,10.385709524154663,492.55911081923745,178.14876533489428,324.3
391,3.5914003252983093,492.55911081923745,185.7383308243409,336.9
392,14.248594284057617,492.55911081923745,195.0335275331723,354.5
393,12.090029001235962,492.55911081923745,191.56332995064133,349.7
394,16.055055618286133,492.55911081923745,196.85104995509496,361.3
395,12.322601795196533,492.55911081923745,178.35320691123655,329.5
396,15.90090036392212,492.55911081923745,185.36093839194345,339.7
397,19.613901138305664,492.55911081923745,173.82217692049431,318.3
398,13.090126991271973,492.55911081923745,178.08312581514693,324.6
399,11.768628120422363,492.55911081923745,175.23035406282764,318.2
400,14.166153192520142,492.55911081923745,185.7444958698083,333.8
401,12.92218828201294,492.55911081923745,189.57312464023084,341.4
402,13.337306261062622,492.55911081923745,188.41885420710977,340.0
403,17.743101119995117,492.55911081923745,185.1776305180543,334.9
404,5.288796067237854,492.55911081923745,186.51646944711212,338.0
405,15.735494613647461,492.55911081923745,203.54394101108883,367.7
406,19.568731784820557,492.55911081923745,199.95164740335548,362.9
407,10.468883514404297,492.55911081923745,186.4655047340181,339.5
408,14.322640419006348,492.55911081923745,179.4172422180626,325.7
409,12.01413631439209,492.55911081923745,182.40934847498343,330.7
410,12.443540573120117,492.55911081923745,186.10756268974174,336.0
411,20.683377742767334,492.55911081923745,180.5865828777045,326.3
412,14.194408416748047,492.55911081923745,179.89888583259415,327.0
413,12.346508264541626,492.55911081923745,176.8883286495449,323.6
414,3.122794032096863,492.55911081923745,180.51572245750646,329.4
415,12.162999868392944,492.55911081923745,202.49995116449563,367.6
416,12.222720384597778,492.55911081923745,197.49806684317284,356.8
